,line,content
162,162,               whiskey and use the wet finger to draw on the tabletop.
163,163,                                     MALCOLM WALLACE
164,164,                         They have a camp here. We attack 
165,165,                         them at sunset tomorrow. Give us all 
166,166,                         night to run home.
167,167,               
168,168, WALLACE FARM - DAY
169,169,               Malcolm and John have saddled horses; they are checking the 
170,170,               short swords they've tucked into grain sacks when William 
171,171,               comes out of the barn with his own horse.
172,172,                                     MALCOLM
173,173,"                         William, you're staying here."
174,174,                                     WILLIAM
175,175,                         I can fight.
176,176,"               These words from his youngest son make Malcolm pause, and "
177,177,"               kneel, to look into William's eyes."
178,178,                                     MALCOLM
179,179,                         Aye. But it's our wits that make us 
180,180,"                         men. I love ya, boy. You stay."
181,181,"               Malcolm and John mount their horses and ride away, leaving "
182,182,               William looking forlorn. They wave; he waves back.
183,183,               
184,184,"SCOTTISH HILLS, NEAR THE WALLACE FARM - DAY"
185,185,"               It's strangely quiet, until William and his friend HAMISH "
186,186,"               CAMPBELL, a red-headed like his father, race up the hillside "
187,187,"               and duck in among a grove of trees. Breathless, gasping, "
188,188,               they press their backs to the tree bark. William peers around 
189,189,"               a tree, then shrinks back and whispers..."
190,190,                                     WILLIAM
191,191,                         They're coming!
192,192,                                     HAMISH
193,193,                         How many?
194,194,                                     WILLIAM
195,195,"                         Three, maybe more!"
196,196,                                     HAMISH
197,197,                         Armed?
198,198,                                     WILLIAM
199,199,"                         They're English soldiers, ain't they?"
200,200,                                     HAMISH
201,201,"                         With your father and brother gone, "
202,202,                         they'll kill us and burn the farm!
203,203,                                     WILLIAM
204,204,"                         It's up to us, Hamish!"
205,205,"               Hamish leans forward for a look, but William pulls him back."
206,206,                                     WILLIAM
207,207,"                         Not yet! Here he comes, be ready!"
208,208,               They wait; heavy FOOTSTEPS. Then from around the edge of the 
209,209,"               grove three enormous, ugly hogs appear. The boys hurling "
210,210,"               rotten eggs. The eggs slap the snouts of the pigs, who scatter "
211,211,"               as the boys charge, howling. We PULL BACK... as the sun goes "
212,212,               down on their play.
213,213,               
214,214, THE WALLACE HOUSE - SUNDOWN
215,215,"               The boys walk toward the house, beneath a lavender sky."
216,216,                                     HAMISH
217,217,                         Wanna stay with me tonight?
218,218,                                     WILLIAM
219,219,                         I wanna have supper waitin'.
220,220,                                     HAMISH
221,221,                         We'll get those English pigs tomorrow.
222,222,                                     WILLIAM
